Car,MPG,Cylinders,Displacement,Horsepower,Weight,Automatic,Acceleration,Model,Origin
Subaru DL,33.8,4,97,67,2145,0,18,80,Japan
Volkswagen Rabbit,29.8,4,89,62,1845,1,15.3,80,Europe
Datsun 280-ZX,32.7,6,168,132,2910,1,11.4,80,Japan
Mazda RX-7 GS,23.7,3,70,100,2420,1,12.5,80,Japan
Triumph TR7 Coupe,35,4,122,88,2500,1,15.1,80,Europe
Ford Mustang Cobra,23.6,4,140,0,2905,1,14.3,80,US
Honda Accord,32.4,4,107,72,2290,1,17,80,Japan
Plymouth Reliant,27.2,4,135,84,2490,1,15.7,81,US
Buick Skylark,26.6,4,151,84,2635,0,16.4,81,US
Dodge Aries Wagon (sw),25.8,4,156,92,2620,0,14.4,81,US
Chevrolet Citation,23.5,6,173,110,2725,1,12.6,81,US
Plymouth Reliant,30,4,135,84,2385,0,12.9,81,US
Toyota Starlet,39.1,4,79,58,1755,0,16.9,81,Japan
Plymouth Champ,39,4,86,64,1875,0,16.4,81,US
Honda Civic 1300,35.1,4,81,60,1760,0,16.1,81,Japan
Subaru,32.3,4,97,67,2065,0,17.8,81,Japan
Datsun 210 MPG,37,4,85,65,1975,0,19.4,81,Japan
Toyota Tercel,37.7,4,89,62,2050,0,17.3,81,Japan
Mazda GLC 4,34.1,4,91,68,1985,0,16,81,Japan
Plymouth Horizon 4,34.7,4,105,63,2215,0,14.9,81,US
Ford Escort 4W,34.4,4,98,65,2045,0,16.2,81,US
Ford Escort 2H,29.9,4,98,65,2380,0,20.7,81,US
Volkswagen Jetta,33,4,105,74,2190,0,14.2,81,Europe
Renault 18i,34.5,4,100,0,2320,0,15.8,81,Europe
Honda Prelude,33.7,4,107,75,2210,1,14.4,81,Japan
Toyota Corolla,32.4,4,108,75,2350,1,16.8,81,Japan
Datsun 200SX,32.9,4,119,100,2615,1,14.8,81,Japan
Mazda 626,31.6,4,120,74,2635,1,18.3,81,Japan
Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,0,20.4,81,Europe
Saab 900s,0,4,121,110,2800,1,15.4,81,Europe
Volvo Diesel,30.7,6,145,76,3160,1,19.6,81,Europe
Toyota Cressida,25.4,6,168,116,2900,1,12.6,81,Japan
Datsun 810 Maxima,24.2,6,146,120,2930,0,13.8,81,Japan
Buick Century,22.4,6,231,110,3415,1,15.8,81,US
Oldsmobile Cutlass LS,26.6,8,350,105,3725,0,19,81,US
Ford Grenada gl,20.2,6,200,88,3060,1,17.1,81,US
Chrysler Lebaron Salon,17.6,6,225,85,3465,1,16.6,81,US
Chevrolet Cavalier,28,4,112,88,2605,1,19.6,82,US
Chevrolet Cavalier Wagon,27,4,112,88,2640,1,18.6,82,US
Chevrolet Cavalier 2-door,34,4,112,88,2395,1,18,82,US
Pontiac J2000 SE Hatchback,31,4,112,85,2575,1,16.2,82,US
Dodge Aries SE,29,4,135,84,2525,1,16,82,US
Pontiac Phoenix,27,4,151,90,2735,0,18,82,US
Ford Fairmont Futura,24,4,140,92,2865,0,16.4,82,US
AMC Concord DL,23,4,151,0,3035,0,20.5,82,US
Volkswagen Rabbit l,36,4,105,74,1980,0,15.3,82,Europe
Mazda GLC Custom l,37,4,91,68,2025,1,18.2,82,Japan
Mazda GLC Custom,31,4,91,68,1970,1,17.6,82,Japan
Plymouth Horizon Miser,38,4,105,63,2125,1,14.7,82,US
Mercury Lynx l,36,4,98,70,2125,1,17.3,82,US
Nissan Stanza XE,36,4,120,88,2160,1,14.5,82,Japan
Honda Accord,36,4,107,75,2205,1,14.5,82,Japan
Toyota Corolla,34,4,108,70,2245,0,16.9,82,Japan
Honda Civic,38,4,91,67,1965,1,15,82,Japan
Honda Civic (auto),32,4,91,67,1965,1,15.7,82,Japan
Datsun 310 GX,38,4,91,67,1995,1,16.2,82,Japan
Buick Century Limited,25,6,181,110,2945,0,16.4,82,US
Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,0,17,82,US
Chrysler Lebaron Medallion,26,4,156,92,2585,0,14.5,82,US
Ford Grenada l,22,6,232,112,2835,1,14.7,82,US
Toyota Celica GT,32,4,144,96,2665,0,13.9,82,Japan
Dodge Charger 2.2,36,4,135,84,2370,1,13,82,US
Chevrolet Camaro,27,4,151,90,2950,1,17.3,82,US
Ford Mustang GL,27,4,140,86,2790,1,15.6,82,US
Volkswagen Pickup,44,4,97,52,2130,1,24.6,82,Europe
Dodge Rampage,32,4,135,84,2295,0,11.6,82,US
Ford Ranger,28,4,120,79,2625,1,18.6,82,US
Chevy S-10,31,4,119,82,2720,1,19.4,82,US
