,ID,Marital.Status,Gender,Income,Children,Education,Occupation,Home.Owner,Cars,Commute.Distance,Region,Age,Purchased.Bike
28,18283,Married,Female,1e+05,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,No
29,18299,Married,Male,70000,5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,No
30,16466,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Yes
31,19273,Married,Female,20000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,No
32,22400,Married,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes
33,20942,Single,Female,20000,0,High School,Manual,No,1,5-10 Miles,Europe,31,No
34,18484,Single,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes
35,12291,Single,Male,90000,5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Yes
36,28380,Single,Female,10000,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,No
37,17891,Married,Female,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Yes
38,27832,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
39,26863,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,28,No
40,16259,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Yes
41,27803,Single,Female,30000,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,No
42,14347,Single,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes
43,17703,Married,Female,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No
44,17185,Married,Female,170000,4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Yes
45,29380,Married,Female,20000,3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Yes
46,23986,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Yes
47,24466,Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes
48,29097,Single,Female,40000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes
49,19487,Married,Male,30000,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,No
50,14939,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Yes
51,13826,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No
52,20619,Single,Male,80000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,No
53,12558,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No
54,24871,Single,Female,90000,4,High School,Management,No,3,5-10 Miles,Europe,56,No
55,17319,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,42,No
56,28906,Married,Male,80000,4,High School,Professional,Yes,2,10+ Miles,Europe,54,No
57,12808,Married,Male,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
58,20567,Married,Male,130000,4,Partial College,Professional,No,4,5-10 Miles,Europe,61,Yes
59,25502,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes
60,15580,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,Yes
61,24185,Single,Female,10000,1,High School,Manual,No,1,1-2 Miles,Europe,45,No
62,19291,Single,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
63,16713,Married,Male,40000,2,Bachelors,Management,Yes,1,0-1 Miles,Pacific,52,Yes
64,16185,Single,Male,60000,4,Bachelors,Professional,Yes,3,10+ Miles,Pacific,41,No
65,14927,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
66,29337,Single,Male,30000,2,Partial College,Clerical,Yes,2,5-10 Miles,Pacific,68,No
67,29355,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
68,25303,Single,Male,30000,0,High School,Manual,Yes,1,2-5 Miles,Europe,33,Yes
69,14813,Single,Female,20000,4,High School,Manual,Yes,1,0-1 Miles,Europe,43,Yes
70,16438,Married,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,30,No
71,14238,Married,Male,120000,0,Partial High School,Professional,Yes,4,10+ Miles,Pacific,36,Yes
72,16200,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,35,No
73,24857,Married,Female,130000,3,High School,Professional,Yes,4,0-1 Miles,Europe,52,No
74,26956,Single,Female,20000,0,Partial College,Manual,No,1,2-5 Miles,Europe,36,Yes
75,14517,Married,Female,20000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,62,No
76,12678,Single,Female,130000,4,High School,Management,Yes,4,0-1 Miles,Pacific,31,No
77,16188,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,26,No
78,27969,Married,Male,80000,0,Bachelors,Professional,Yes,2,10+ Miles,Pacific,29,Yes
79,15752,Married,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes
80,27745,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,63,Yes
81,20828,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,Yes
82,19461,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,No
83,26941,Married,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Yes
84,28412,Single,Male,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No
85,24485,Single,Male,40000,2,Bachelors,Management,No,1,5-10 Miles,Pacific,52,Yes
86,16514,Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes
87,17191,Single,Male,130000,3,Partial College,Professional,No,3,0-1 Miles,Europe,51,Yes
88,19608,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No
89,24119,Single,Male,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No
90,25458,Married,Male,20000,1,High School,Manual,No,1,1-2 Miles,Europe,40,Yes
91,26886,Single,Female,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes
92,28436,Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,30,Yes
93,19562,Single,Female,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,Yes
94,15608,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,33,No
95,16487,Single,Female,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
96,17197,Single,Female,90000,5,Partial College,Professional,Yes,2,10+ Miles,Europe,62,No
97,12507,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No
98,23940,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,1,0-1 Miles,Europe,44,Yes
99,19441,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,Yes
100,26852,Married,Female,20000,3,High School,Manual,Yes,2,0-1 Miles,Europe,43,No
101,12274,Single,Male,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,35,No
102,20236,Single,Male,60000,3,Bachelors,Professional,No,2,0-1 Miles,Pacific,43,Yes
103,24149,Married,Male,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No
104,26139,Single,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,45,No
105,18491,Single,Female,70000,2,High School,Professional,Yes,2,5-10 Miles,Pacific,49,Yes
106,22707,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
107,20430,Married,Male,70000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes
108,27494,Single,Female,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,53,Yes
109,26829,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
110,28395,Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,39,Yes
111,21006,Single,Female,60000,1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Yes
112,14682,Single,Female,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,38,No
113,17650,Single,Female,40000,2,Partial College,Clerical,Yes,2,1-2 Miles,Europe,35,No
114,29191,Single,Female,130000,1,Graduate Degree,Management,No,1,0-1 Miles,Pacific,36,Yes
115,15030,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,26,Yes
116,24140,Single,Male,10000,0,Graduate Degree,Manual,No,0,0-1 Miles,Europe,30,Yes
117,22496,Married,Female,30000,1,Bachelors,Skilled Manual,Yes,2,0-1 Miles,Europe,42,No
118,24065,Single,Female,20000,0,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes
119,19914,Married,Male,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,62,No
120,12871,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,29,No
121,22988,Married,Female,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes
122,15922,Married,Male,150000,2,High School,Professional,Yes,4,0-1 Miles,Europe,48,No
123,12344,Single,Female,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,31,No
124,23627,Single,Female,1e+05,3,Partial College,Management,No,4,5-10 Miles,Europe,56,No
125,27775,Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Yes
126,29301,Married,Male,80000,5,Bachelors,Professional,Yes,4,1-2 Miles,Pacific,40,No
127,12716,Single,Male,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,32,No
128,12472,Married,Male,30000,1,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,39,No
129,20970,Single,Male,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,52,Yes
130,26818,Single,Male,10000,3,High School,Manual,Yes,1,0-1 Miles,Europe,39,Yes
131,12993,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,37,No
132,14192,Married,Male,90000,4,High School,Management,Yes,3,5-10 Miles,Europe,56,Yes
133,19477,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,Yes
134,26796,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes
135,21094,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No
136,12234,Married,Male,10000,2,Partial College,Manual,Yes,1,2-5 Miles,Europe,52,No
137,28683,Single,Female,10000,1,High School,Manual,No,1,5-10 Miles,Europe,35,Yes
138,17994,Single,Male,20000,2,High School,Manual,Yes,2,0-1 Miles,Europe,42,No
139,24273,Married,Female,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes
140,26547,Single,Female,30000,2,Partial College,Clerical,No,2,5-10 Miles,Pacific,60,Yes
141,22500,Single,Male,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes
142,23993,Single,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes
143,14832,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Yes
144,16614,Married,Female,80000,0,Bachelors,Professional,Yes,3,10+ Miles,Pacific,32,No
145,20877,Single,Male,30000,1,Bachelors,Clerical,Yes,0,1-2 Miles,Europe,37,Yes
146,20729,Married,Female,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No
147,22464,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
148,19475,Married,Female,40000,0,Bachelors,Professional,No,0,0-1 Miles,Europe,40,Yes
149,19675,Married,Male,20000,4,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,60,No
150,12728,Single,Male,30000,0,Partial College,Clerical,No,1,1-2 Miles,Europe,27,No
151,26154,Married,Male,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,43,Yes
152,29117,Single,Male,1e+05,1,Bachelors,Management,No,3,0-1 Miles,Pacific,48,No
153,17845,Single,Female,20000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,32,No
154,25058,Married,Male,1e+05,1,Bachelors,Management,Yes,3,2-5 Miles,Pacific,47,No
155,23426,Single,Male,80000,5,Graduate Degree,Management,Yes,3,0-1 Miles,Pacific,40,No
156,14798,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,41,Yes
157,12664,Married,Female,130000,5,Partial College,Professional,Yes,4,0-1 Miles,Europe,59,No
158,23979,Single,Male,10000,2,Partial College,Manual,No,0,0-1 Miles,Europe,50,No
159,25605,Single,Female,20000,2,Partial College,Manual,No,1,0-1 Miles,Europe,54,Yes
160,20797,Married,Female,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No
161,21980,Single,Female,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,44,Yes
162,25460,Married,Female,20000,2,High School,Manual,Yes,0,0-1 Miles,Europe,40,Yes
163,29181,Single,Female,60000,2,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Yes
164,24279,Single,Male,40000,2,Partial College,Skilled Manual,No,2,1-2 Miles,Pacific,52,No
165,22402,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,25,Yes
166,15465,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,25,No
167,26757,Single,Male,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes
168,14233,Single,Male,1e+05,0,High School,Management,Yes,3,10+ Miles,Pacific,35,No
169,14058,Single,Male,70000,0,Bachelors,Professional,No,1,5-10 Miles,Pacific,41,Yes
170,12273,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No
171,17203,Married,Female,130000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,61,Yes
172,18144,Married,Female,80000,5,Bachelors,Management,Yes,2,2-5 Miles,Europe,61,No
173,23963,Married,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,33,No
174,17907,Married,Female,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,27,No
175,19442,Single,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,37,Yes
176,17504,Single,Female,80000,2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes
177,12253,Single,Female,20000,0,Partial College,Manual,Yes,0,0-1 Miles,Pacific,29,Yes
178,27304,Single,Female,110000,2,Partial College,Professional,No,3,5-10 Miles,Europe,48,No
179,14191,Married,Male,160000,4,Partial College,Professional,No,2,10+ Miles,Europe,55,Yes
180,12212,Married,Female,10000,0,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,Yes
181,25529,Single,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,44,No
182,22170,Married,Female,30000,3,Partial College,Clerical,No,2,1-2 Miles,Pacific,55,Yes
183,19445,Married,Female,10000,2,High School,Manual,No,1,0-1 Miles,Europe,38,No
184,15265,Single,Male,40000,2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,66,Yes
185,28918,Married,Female,130000,4,High School,Management,No,4,10+ Miles,Europe,58,No
186,15799,Married,Female,90000,1,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,47,Yes
187,11047,Married,Female,30000,3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,56,Yes
188,18151,Single,Male,80000,5,Partial College,Professional,No,2,10+ Miles,Europe,59,No
189,20606,Married,Female,70000,0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,32,Yes
190,19482,Married,Male,30000,1,Partial College,Clerical,Yes,1,0-1 Miles,Europe,44,Yes
191,16489,Married,Male,30000,3,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,55,No
192,26944,Single,Male,60000,2,High School,Manual,Yes,0,0-1 Miles,Europe,36,Yes
193,15682,Single,Female,80000,5,Bachelors,Management,Yes,2,10+ Miles,Europe,62,No
194,26032,Married,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,41,No
195,17843,Single,Female,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,No
196,25559,Single,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,25,Yes
197,16209,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,1.45509586276488,1-2 Miles,Europe,36,No
198,11147,Married,Male,60000,2,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,67,Yes
199,15214,Single,Female,1e+05,0,Graduate Degree,Management,No,1,1-2 Miles,Pacific,39,Yes
200,11453,Single,Male,80000,0,Bachelors,Professional,No,3,10+ Miles,Pacific,33,Yes
201,24584,Single,Male,60000,0,Bachelors,Professional,No,3,2-5 Miles,Pacific,31,No
202,12585,Married,Male,10000,1,High School,Manual,Yes,0,2-5 Miles,Pacific,27,Yes
203,18626,Single,Male,40000,2,Partial College,Clerical,Yes,1.45509586276488,1-2 Miles,Europe,33,Yes
204,29298,Single,Female,60000,1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes
205,24842,Single,Female,90000,3,High School,Professional,No,1,2-5 Miles,Europe,51,No
206,15657,Married,Male,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,46,Yes
207,11415,Single,Male,90000,5,Partial College,Professional,No,2,10+ Miles,Europe,62,No
208,28729,Single,Female,20000,0,Partial High School,Manual,Yes,2,1-2 Miles,Europe,26,Yes
209,22633,Single,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
210,25649,Single,Female,30000,3,Partial College,Clerical,Yes,0,0-1 Miles,Europe,42,Yes
211,14669,Married,Female,80000,4,Graduate Degree,Management,Yes,1,0-1 Miles,Pacific,36,No
212,19299,Married,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes
213,20946,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
214,11451,Single,Male,70000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,31,Yes
215,25553,Married,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,Yes
216,27951,Single,Male,80000,4,Partial College,Professional,No,2,2-5 Miles,Europe,54,Yes
217,25026,Married,Male,20000,2,Partial High School,Clerical,Yes,3,5-10 Miles,Pacific,54,No
218,13673,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,25,No
219,16043,Single,Male,10000,1,Bachelors,Manual,Yes,0,0-1 Miles,Europe,48,No
220,22399,Single,Male,10000,0,Partial College,Manual,Yes,1,1-2 Miles,Pacific,26,Yes
221,27696,Married,Male,60000,1,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,43,Yes
222,25313,Single,Male,10000,0,Partial High School,Manual,No,2,1-2 Miles,Europe,35,No
223,13813,Married,Female,30000,3,Partial College,Clerical,No,0,0-1 Miles,Europe,42,No
224,18711,Single,Female,70000,5,Bachelors,Professional,Yes,4,10+ Miles,Pacific,39,No
225,19650,Married,Female,30000,2,Partial College,Clerical,No,2,0-1 Miles,Pacific,67,No
226,14135,Married,Male,20000,1,Partial College,Manual,Yes,0,1-2 Miles,Europe,43,No
227,12833,Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,Europe,42,Yes
228,26849,Married,Male,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
229,20962,Married,Female,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
230,28915,Single,Male,80000,5,High School,Management,Yes,3,10+ Miles,Europe,57,No
231,22830,Married,Male,120000,4,Partial College,Management,Yes,3,10+ Miles,Europe,56,No
232,14777,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,38,Yes
233,12591,Married,Female,30000,4,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,45,No
234,24174,Married,Male,20000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Pacific,27,Yes
235,24611,Married,Male,90000,0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,Yes
236,11340,Married,Female,10000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,70,Yes
237,25693,Single,Female,30000,5,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,44,Yes
238,25555,Married,Female,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes
239,22006,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,46,No
240,20060,Single,Female,30000,0,High School,Manual,No,1,2-5 Miles,Europe,34,Yes
241,17702,Married,Male,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,37,No
242,12503,Single,Female,30000,3,Partial College,Clerical,Yes,2,0-1 Miles,Europe,27,No
243,23908,Single,Male,30000,1,Bachelors,Clerical,No,1,0-1 Miles,Europe,39,Yes
244,22527,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,29,No
245,19057,Married,Female,120000,3,Bachelors,Management,No,2,10+ Miles,Europe,52,Yes
246,18494,Married,Male,110000,5,Bachelors,Management,Yes,4,2-5 Miles,Pacific,48,Yes
247,11249,Married,Female,130000,3,Partial College,Professional,Yes,3,0-1 Miles,Europe,51,Yes
248,21568,Married,Female,1e+05,0,High School,Management,Yes,4,10+ Miles,Pacific,34,Yes
249,13981,Married,Female,10000,5,High School,Skilled Manual,No,3,1-2 Miles,Pacific,62,No
250,23432,Single,Male,70000,0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,37,Yes
251,22931,Married,Male,1e+05,5,Graduate Degree,Management,No,1,1-2 Miles,Pacific,78,Yes
252,18172,Married,Male,130000,4,High School,Professional,Yes,3,0-1 Miles,Europe,55,No
253,12666,Single,Male,60000,0,Bachelors,Professional,No,4,2-5 Miles,Pacific,31,No
254,20598,Married,Male,1e+05,3,Partial High School,Professional,Yes,0,10+ Miles,Europe,59,Yes
255,21375,Single,Male,20000,2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,57,No
256,20839,Single,Female,30000,3,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,47,Yes
257,21738,Married,Male,20000,1,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,43,No
258,14164,Single,Female,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,Europe,36,Yes
259,14193,Single,Female,1e+05,3,Partial College,Management,Yes,4,10+ Miles,Europe,56,No
260,12705,Married,Male,150000,0,Bachelors,Management,Yes,4,0-1 Miles,Pacific,37,Yes
261,22672,Single,Female,30000,2,Partial College,Clerical,Yes,0,0-1 Miles,Europe,43,No
262,26219,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,1,1-2 Miles,Europe,33,Yes
263,28468,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,51,No
264,23419,Single,Female,70000,5,Bachelors,Professional,Yes,3,10+ Miles,Pacific,39,No
265,17964,Married,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
266,20919,Single,Female,30000,2,Partial College,Clerical,Yes,2,0-1 Miles,Europe,42,No
267,20927,Single,Female,20000,5,High School,Manual,Yes,2,0-1 Miles,Europe,27,No
268,13133,Single,Male,1e+05,5,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,47,Yes
269,19626,Married,Male,70000,5,Partial College,Skilled Manual,Yes,3,5-10 Miles,Pacific,45,No
270,21039,Single,Female,50000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,Europe,37,Yes
271,12231,Single,Female,10000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,51,Yes
272,25665,Single,Female,20000,0,High School,Manual,No,1,1-2 Miles,Europe,28,No
273,24061,Married,Male,10000,4,Partial High School,Manual,Yes,1,0-1 Miles,Europe,40,Yes
274,26879,Single,Female,20000,0,High School,Manual,No,1,2-5 Miles,Europe,30,No
275,12284,Married,Female,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Yes
276,26654,Married,Female,90000,1,Graduate Degree,Management,Yes,0,0-1 Miles,Pacific,37,Yes
277,14545,Married,Female,10000,2,Partial College,Manual,Yes,0,1-2 Miles,Europe,49,No
278,24201,Married,Female,10000,2,High School,Manual,Yes,0,0-1 Miles,Europe,37,Yes
279,20625,Married,Male,1e+05,0,High School,Management,Yes,3,10+ Miles,Pacific,35,Yes
280,16390,Single,Male,30000,1,Bachelors,Clerical,No,0,0-1 Miles,Europe,38,Yes
281,14804,Single,Female,10000,3,Partial High School,Manual,Yes,2,0-1 Miles,Europe,43,No
282,12629,Single,Male,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,37,No
283,14696,Single,Male,10000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,34,No
284,22005,Married,Female,70000,5,Partial College,Skilled Manual,No,3,5-10 Miles,Pacific,46,No
