"","LotArea","SalePrice"
"132",12224,244000
"133",7388,150750
"134",6853,220000
"135",10335,180000
"136",10400,174000
"137",10355,143000
"138",11070,171000
"139",9066,230000
"140",15426,231500
"141",10500,115000
"142",11645,260000
"143",8520,166000
"144",10335,204000
"145",9100,125000
"146",2522,130000
"147",6120,105000
"148",9505,222500
"149",7500,141000
"150",6240,115000
"151",10356,122000
"152",13891,372402
"153",14803,190000
"154",13500,235000
"155",11340,125000
"156",9600,79000
"157",7200,109500
"158",12003,269500
"159",12552,254900
"160",19378,320000
"161",11120,162500
"162",13688,412500
"163",12182,220000
"164",5500,103200
"165",5400,152000
"166",10106,127500
"167",10708,190000
"168",10562,325624
"169",8244,183500
"170",16669,228000
"171",12358,128500
"172",31770,215000
"173",5306,239000
"174",10197,163000
"175",12416,184000
"176",12615,243000
"177",10029,211000
"178",13650,172500
"179",17423,501837
"180",8520,100000
"181",2117,177000
"182",7588,200100
"183",9060,120000
"184",11426,200000
"185",7438,127000
"186",22950,475000
"187",9947,173000
"188",10410,135000
"189",7018,153337
"190",4923,286000
"191",10570,315000
"192",7472,184000
"193",9017,192000
"194",2522,130000
"195",7180,127000
"196",2280,148500
"197",9416,311872
"198",25419,235000
"199",5520,104000
"200",9591,274900
"201",8546,140000
"202",10125,171500
"203",7000,112000
"204",4438,149000
"205",3500,110000
"206",11851,180500
"207",13673,143900
"208",12493,141000
"209",14364,277000
"210",8250,145000
"211",5604,98000
"212",10420,186000
"213",8640,252678
"214",13568,156000
"215",10900,161750
"216",10011,134450
"217",8450,210000
"218",9906,107000
"219",15660,311500
"220",3010,167240
"221",8990,204900
"222",8068,200000
"223",11475,179900
"224",10500,97000
"225",13472,386250
"226",1680,112000
"227",9950,290000
"228",1869,106000
"229",8521,125000
"230",3182,192500
"231",8760,148000
"232",15138,403000
"233",1680,94500
"234",10650,128200
"235",7851,216500
"236",1680,89500
"237",8773,185500
"238",9453,194500
"239",12030,318000
"240",8741,113000
"241",9000,262500
"242",3880,110500
"243",5000,79000
"244",10762,120000
"245",8880,205000
"246",10400,241500
"247",9142,137000
"248",11310,140000
"249",11317,180000
"250",159000,277000
"251",5350,76500
"252",4750,235000
"253",8366,173000
"254",9350,158000
"255",8400,145000
"256",8738,230000
"257",8791,207500
"258",8814,220000
"259",12435,231500
"260",12702,97000
"261",19296,176000
"262",9588,276000
"263",8471,151000
"264",5500,130000
"265",5232,73000
"266",12090,175500
"267",11207,185000
"268",8400,179500
"269",6900,120500
"270",7917,148000
"271",10728,266000
"272",39104,241500
"273",11764,290000
"274",9600,139000
"275",8314,124500
"276",7264,205000
"277",9196,201000
"278",19138,141000
"279",14450,415298
"280",10005,192000
"281",11287,228500
"282",7200,185000
"283",5063,207500
"284",9612,244600
"285",8012,179200
"286",4251,164700
"287",9786,159000
"288",8125,88000
"289",9819,122000
"290",8730,153575
"291",15611,233230
"292",5687,135900
"293",11409,131000
"294",16659,235000
"295",9600,167000
"296",7937,142500
"297",13710,152000
"298",7399,239000
"299",11700,175000
"300",14000,158500
"301",15750,157000
"302",16226,267000
"303",13704,205000
"304",9800,149900
"305",18386,295000
"306",10386,305900
"307",13474,225000
"308",7920,89500
"309",12342,82500
"310",12378,360000
"311",7685,165600
"312",8000,132000
"313",7800,119900
"314",215245,375000
"315",9600,178000
"316",7795,188500
"317",13005,260000
"318",9000,270000
"319",9900,260000
"320",14115,187500
"321",16259,342643
"322",12099,354000
"323",10380,301000
"324",5820,126175
"325",11275,242000
"326",5000,87000
"327",10846,324000
"328",11600,145250
"329",11888,214500
"330",6402,78000
"331",10624,119000
"332",8176,139000
"333",10655,284000
"334",8198,207000
"335",9042,192000
"336",164660,228950
"337",14157,377426
"338",9135,214000
"339",14145,202500
"340",12400,155000
"341",14191,202900
"342",8400,82000
"343",8544,87500
"344",8849,266000
"345",2592,85000
"346",6435,140200
"347",12772,151500
"348",17600,157500
"349",2448,154000
"350",20431,437154
"351",7820,318061
"352",5271,190000
"353",9084,95000
"354",8520,105900
"355",8400,140000
"356",11249,177500
"357",9248,173000
"358",4224,134000
"359",6930,130000
"360",12011,280000
"361",7540,156000
"362",9144,145000
"363",7301,198500
"364",1680,118000
"365",18800,190000
"366",10690,147000
"367",9500,159000
"368",9150,165000
"369",7800,132000
"370",9830,162000
"371",8121,172400
"372",17120,134432
"373",7175,125000
"374",10634,123000
"375",8200,219500
"376",10020,61000
"377",8846,148000
"378",11143,340000
"379",11394,394432
"380",8123,179000
"381",5000,127000
"382",7200,187750
"383",9245,213500
"384",9000,76000
"385",53107,240000
"386",3182,192000
"387",8410,81000
"388",7200,125000
"389",9382,191000
"390",12474,426000
"391",8405,119000
"392",12209,215000
"393",8339,106500
"394",7446,100000
"395",10134,109000
"396",9571,129000
"397",7200,123000
"398",7590,169500
"399",8967,67000
"400",8125,241000
"401",14963,245500
"402",8767,164990
"403",10200,108000
"404",12090,258000
"405",10364,168000
"406",9991,150000
"407",10480,115000
"408",15576,177000
"409",14154,280000
"410",10800,339750
"411",9571,60000
"412",34650,145000
"413",4403,222000
"414",8960,115000
"415",11228,228000
"416",8899,181134
"417",7844,149500
"418",22420,239000
"419",8160,126000
"420",8450,142000
"421",7060,206300
"422",16635,215000
"423",21750,113000
"424",9200,315000
"425",9000,139000
"426",3378,135000
"427",12800,275000
"428",8593,109008
"429",6762,195400
"430",11457,175000
"431",1680,85400
"432",5586,79900
"433",1920,122500
"434",10839,181000
"435",1890,81000
"436",10667,212000
"437",4400,116000
"438",6000,119000
"439",4280,90350
"440",12354,110000
"441",15431,555000
"442",12108,118000
"443",6240,162900
"444",3922,172500
"445",8750,210000
"446",9855,127500
"447",16492,190000
"448",11214,199900
"449",8600,119500
"450",6000,120000
"451",5684,110000
"452",70761,280000
"453",9303,204000
"454",9000,210000
"455",9297,188000
"456",9600,175500
"457",4571,98000
"458",53227,256000
"459",5100,161000
"460",7015,110000
"461",8004,263435
"462",7200,155000
"463",8281,62383
"464",11988,188700
"465",8430,124000
"466",3072,178740
"467",10628,167000
"468",9480,146500
"469",11428,250000
"470",9291,187000
"471",6820,212000
"472",11952,190000
"473",3675,148000
"474",14977,440000
"475",5330,251000
"476",8480,132500
"477",13125,208900
"478",13693,380000
"479",10637,297000
"480",5925,89471
"481",16033,326000
"482",11846,374000
"483",2500,155000
"484",4500,164000
"485",7758,132500
"486",9600,147000
"487",10289,156000
"488",12243,175000
"489",10800,160000
"490",1526,86000
"491",2665,115000
"492",9490,133000
"493",15578,172785
"494",7931,155000
"495",5784,91300
"496",7879,34900
"497",12692,430000
"498",9120,184000
"499",7800,130000
"500",7535,120000
"501",1890,113000
"502",9803,226700
"503",9170,140000
"504",15602,289000
"505",2308,147000
"506",7596,124500
"507",9554,215000
"508",7862,208300
"509",9600,161000
"510",9600,124500
"511",14559,164900
"512",6792,202665
"513",9100,129900
"514",9187,134000
"515",10594,96500
"516",12220,402861
"517",10448,158000
"518",10208,265000
"519",9531,211000
"520",10918,234000
"521",10800,106250
"522",11988,150000
"523",5000,159000
"524",40094,184750
"525",11787,315750
"526",7500,176000
"527",13300,132000
"528",14948,446261
"529",9098,86000
"530",32668,200624
"531",10200,175000
"532",6155,128000
"533",7200,107500
"534",5000,39300
"535",9056,178000
"536",7000,107500
"537",8924,188000
"538",12735,111250
"539",11553,158000
"540",11423,272000
"541",14601,315000
"542",11000,248000
"543",10140,213250
"544",4058,133000
"545",17104,179665
"546",13837,229000
"547",8737,210000
"548",7244,129500
"549",8235,125000
"550",9375,263000
"551",4043,140000
"552",6000,112500
"553",11146,255500
"554",8777,108000
"555",10625,284000
"556",6380,113000
"557",14850,141000
"558",11040,108000
"559",21872,175000
"560",3196,234000
"561",11341,121500
"562",10010,170000
"563",13907,108000
"564",21780,185000
"565",13346,268000
"566",6858,128000
"567",11198,325000
"568",10171,214000
"569",12327,316600
"570",7032,135960
"571",13101,142600
"572",7332,120000
"573",13159,224500
"574",9967,170000
"575",10500,139000
"576",8480,118500
"577",6292,145000
"578",11777,164500
"579",3604,146000
"580",12150,131500
"581",14585,181900
"582",12704,253293
"583",11841,118500
"584",13500,325000
"585",6120,133000
"586",11443,369900
"587",10267,130000
"588",8740,137000
"589",25095,143000
"590",9100,79500
"591",8320,185900
"592",13478,451950
"593",6600,138000
"594",4435,140000
"595",7990,110000
"596",11302,319000
"597",3600,114504
"598",3922,194201
"599",12984,217500
"600",1950,151000
"601",10927,275000
"602",9000,141000
"603",10041,220000
"604",3182,151000
"605",12803,221000
"606",13600,205000
"607",12464,152000
"608",7800,225000
"609",12168,359100
"610",7943,118500
"611",11050,313000
"612",10395,148000
"613",11885,261500
"614",8402,147000
"615",1491,75500
"616",8800,137500
"617",7861,183200
"618",7227,105500
"619",11694,314813
"620",12244,305000
"621",8248,67000
"622",10800,240000
"623",7064,135000
"624",2117,168500
"625",10400,165150
"626",10000,160000
"627",12342,139900
"628",9600,153000
"629",11606,135000
"630",9020,168500
"631",9000,124000
"632",4590,209500
"633",11900,82500
"634",9250,139400
"635",6979,144000
"636",10896,200000
"637",6120,60000
"638",6000,93000
"639",8777,85000
"640",3982,264561
"641",12677,274000
"642",7050,226000
"643",13860,345000
"644",10793,152000
"645",9187,370878
"646",10530,143250
"647",7200,98300
"648",10452,155000
"649",7700,155000
"650",1936,84500
"651",8125,205950
"652",9084,108000
"653",8750,191000
"654",10320,135000
"655",10437,350000
"656",1680,88000
"657",10007,145500
"658",7200,149000
"659",17503,97500
"660",9937,167000
"661",12384,197900
"662",46589,402000
"663",13560,110000
"664",10012,137500
"665",20896,423000
"666",11194,230500
"667",18450,129000
"668",8125,193500
"669",14175,168000
"670",11600,137500
"671",8633,173500
"672",6629,103600
"673",11250,165000
"674",14442,257500
"675",9200,140000
"676",2289,148500
"677",9600,87000
"678",9022,109500
"679",11844,372500
"680",9945,128500
"681",8012,143000
"682",4500,159434
"683",2887,173000
"684",11248,285000
"685",16770,221000
"686",5062,207500
"687",10207,227875
"688",5105,148800
"689",8089,392000
"690",7577,194700
"691",4426,141000
"692",21535,755000
"693",26178,335000
"694",5400,108480
"695",6120,141500
"696",13811,176000
"697",6000,89000
"698",6420,123500
"699",8450,138500
"700",4282,196000
"701",14331,312500
"702",9600,140000
"703",12438,361919
"704",7630,140000
"705",8400,213000
"706",5600,55000
"707",115149,302000
"708",6240,254000
"709",9018,179540
"710",7162,109900
"711",4130,52000
"712",8712,102776
"713",4671,189000
"714",9873,129000
"715",13517,130500
"716",10140,165000
"717",10800,159500
"718",10000,157000
"719",10542,341000
"720",9920,128500
"721",6563,275000
"722",4426,143000
"723",8120,124500
"724",8172,135000
"725",13286,320000
"726",6960,120500
"727",21695,222000
"728",7314,194500
"729",11475,110000
"730",6240,103000
"731",5389,236500
"732",9590,187500
"733",11404,222500
"734",10000,131400
"735",8978,108000
"736",10800,163000
"737",8544,93500
"738",10463,239900
"739",10800,179000
"740",9313,190000
"741",9600,132000
"742",6768,142000
"743",8450,179000
"744",12886,175000
"745",5395,180000
"746",8963,299800
"747",8795,236000
"748",11700,265979
"749",10593,260400
"750",8405,98000
"751",8800,96500
"752",7750,162000
"753",9236,217000
"754",10240,275500
"755",7930,156000
"756",3230,172500
"757",10769,212000
"758",11616,158900
"759",2280,179400
"760",12257,290000
"761",9100,127500
"762",6911,100000
"763",8640,215200
"764",9430,337000
"765",9549,270000
"766",14587,264132
"767",10421,196500
"768",12508,160000
"769",9100,216837
"770",53504,538000
"771",7252,134900
"772",8877,102000
"773",7819,107000
"774",10150,114500
"775",14226,395000
"776",4500,162000
"777",11210,221500
"778",13350,142500
"779",8400,144000
"780",10530,135000
"781",7875,176000
"782",7153,175900
"783",16285,187100
"784",9101,165500
"785",6300,128000
"786",9790,161500
"787",10800,139000
"788",10142,233000
"789",6000,107900
"790",12205,187500
"791",3182,160200
"792",11333,146800
"793",9920,269790
"794",9158,225000
"795",10832,194500
"796",8400,171000
"797",8197,143500
"798",7677,110000
"799",13518,485000
"800",7200,175000
"801",12798,200000
"802",4800,109900
"803",8199,189000
"804",13891,582933
"805",9000,118000
"806",12274,227680
"807",9750,135500
"808",21384,223500
"809",13400,159950
"810",8100,106000
"811",10140,181000
"812",4438,144500
"813",8712,55993
"814",9750,157900
"815",8248,116000
"816",12137,224900
"817",11425,137000
"818",13265,271000
"819",8816,155000
"820",6371,224000
"821",7226,183000
"822",6000,93000
"823",12394,225000
"824",9900,139500
"825",11216,232600
"826",14803,385000
"827",6130,109500
"828",8529,189000
"829",28698,185000
"830",2544,147400
"831",11900,166000
"832",3180,151000
"833",9548,237000
"834",10004,167000
"835",7875,139950
"836",9600,128000
"837",8100,153500
"838",1680,100000
"839",9525,144000
"840",11767,130500
"841",12155,140000
"842",10440,157500
"843",9020,174900
"844",8000,141000
"845",12665,153900
"846",16647,171000
"847",9317,213000
"848",15523,133500
"849",45600,240000
"850",9600,187000
"851",4435,131500
"852",3196,215000
"853",7128,164000
"854",12095,158000
"855",17920,170000
"856",6897,127000
"857",10970,147000
"858",8125,174000
"859",10400,152000
"860",11029,250000
"861",7642,189950
"862",11625,131500
"863",9672,152000
"864",7931,132500
"865",8640,250580
"866",8750,148500
"867",10656,248900
"868",6970,129000
"869",14762,169000
"870",9938,236000
"871",6600,109500
"872",8750,200500
"873",8892,116000
"874",12144,133000
"875",5720,66500
"876",9000,303477
"877",25286,132250
"878",8834,350000
"879",11782,148000
"880",7000,136500
"881",7024,157000
"882",13758,187500
"883",9636,178000
"884",6204,118500
"885",7150,100000
"886",5119,328900
"887",8393,145000
"888",16466,135500
"889",15865,268000
"890",12160,149500
"891",8064,122900
"892",11184,172500
"893",8414,154500
"894",13284,165000
"895",7018,118858
"896",7056,140000
"897",8765,106500
"898",7018,142953
"899",12919,611657
"900",6993,135000
"901",7340,110000
"902",8712,153000
"903",7875,180000
"904",14859,240000
"905",6173,125500
"906",9920,128000
"907",13501,255000
"908",11500,250000
"909",8885,131000
"910",12589,174000
"911",11600,154300
"912",9286,143500
"913",6120,88000
"914",6270,145000
"915",3000,173733
"916",2001,75000
"917",9000,35311
"918",17140,135000
"919",13125,238000
"920",11029,176500
"921",8462,201000
"922",8777,145900
"923",10237,169990
"924",8012,193000
"925",10240,207500
"926",15611,175000
"927",11999,285000
"928",9900,176000
"929",11838,236500
"930",13006,222000
"931",8925,201000
"932",9100,117500
"933",11670,320000
"934",8487,190000
"935",27650,242000
"936",5825,79900
"937",10083,184900
"938",9675,253000
"939",8760,239799
"940",24090,244400
"941",12640,150900
"942",8755,214000
"943",7711,150000
"944",25000,143000
"945",14375,137500
"946",8820,124900
"947",8163,143000
"948",14536,270000
"949",14006,192500
"950",9360,197500
"951",7200,129000
"952",7800,119900
"953",7200,133900
"954",11075,172000
"955",9400,127500
"956",7136,145000
"957",1300,124000
"958",7420,132000
"959",8450,185000
"960",2572,155000
"961",7207,116500
"962",12227,272000
"963",2308,155000
"964",11923,239000
"965",11316,214900
"966",10237,178900
"967",9600,160000
"968",7390,135000
"969",5925,37900
"970",10382,140000
"971",10800,135000
"972",2268,173000
"973",7892,99500
"974",11639,182000
"975",11414,167500
"976",2651,165000
"977",5900,85500
"978",4274,199900
"979",9450,110000
"980",8816,139000
"981",12122,178400
"982",12203,336000
"983",3182,159895
"984",11250,255900
"985",10125,126000
"986",10880,125000
"987",5310,117000
"988",10159,395192
"989",12046,195000
"990",8125,197000
"991",9452,348000
"992",17671,168000
"993",9760,187000
"994",8846,173900
"995",12456,337500
"996",4712,121600
"997",10659,136500
"998",11717,185000
"999",9786,91000
"1000",6762,206000
"1001",10206,82000
"1002",5400,86000
"1003",11957,232000
"1004",11500,136905
"1005",3182,181000
"1006",8385,149900
"1007",12155,163500
"1008",2217,88000
"1009",12118,240000
"1010",6000,102000
"1011",21286,135000
"1012",9825,100000
"1013",10592,165000
"1014",7200,85000
"1015",11664,119200
"1016",8400,227000
"1017",11883,203000
"1018",5814,187500
"1019",10784,160000
"1020",3013,213490
"1021",7024,176000
"1022",7406,194000
"1023",9439,87000
"1024",3182,191000
"1025",15498,287000
"1026",7700,112500
"1027",9300,167500
"1028",9520,293077
"1029",9492,105000
"1030",1680,118000
"1031",7082,160000
"1032",15863,197000
"1033",14541,310000
"1034",8125,230000
"1035",6305,119750
"1036",11500,84000
"1037",12898,315500
"1038",9240,287000
"1039",1533,97000
"1040",1477,80000
"1041",13125,155000
"1042",9130,173000
"1043",5381,196000
"1044",11839,262280
"1045",9600,278000
"1046",13680,139600
"1047",16056,556581
"1048",9245,145000
"1049",21750,115000
"1050",11100,84900
"1051",8993,176485
"1052",11175,200141
"1053",9500,165000
"1054",8562,144500
"1055",11367,255000
"1056",11361,180000
"1057",7052,185850
"1058",29959,248000
"1059",11308,335000
"1060",11275,220000
"1061",4920,213500
"1062",18000,81000
"1063",13600,90000
"1064",6000,110500
"1065",11000,154000
"1066",14000,328000
"1067",7837,178000
"1068",9760,167900
"1069",3964,151400
"1070",9600,135000
"1071",10152,135000
"1072",11700,154000
"1073",7585,91500
"1074",7950,159500
"1075",8556,194000
"1076",13125,219500
"1077",10800,170000
"1078",15870,138800
"1079",4435,155900
"1080",8775,126000
"1081",11040,145000
"1082",7500,133000
"1083",8749,192000
"1084",8800,160000
"1085",13031,187500
"1086",9069,147000
"1087",1974,83500
"1088",10574,252000
"1089",2522,137500
"1090",3316,197000
"1091",8544,92900
"1092",2160,160000
"1093",8400,136500
"1094",9230,146000
"1095",5868,129000
"1096",9317,176432
"1097",6882,127000
"1098",3696,170000
"1099",6000,128000
"1100",11880,157000
"1101",8400,60000
"1102",9758,119500
"1103",7000,135000
"1104",8910,159500
"1105",2016,106000
"1106",12256,325000
"1107",10357,179900
"1108",23257,274725
"1109",8063,181000
"1110",11362,280000
"1111",8000,188000
"1112",10480,205000
"1113",7100,129900
"1114",8923,134500
"1115",5400,117000
"1116",12085,318000
"1117",7750,184100
"1118",9764,130000
"1119",13825,140000
"1120",7560,133700
"1121",8263,118400
"1122",10084,212900
"1123",8926,112000
"1124",9405,118000
"1125",9125,163900
"1126",10434,115000
"1127",3684,174000
"1128",14572,259000
"1129",11796,215000
"1130",7200,140000
"1131",7804,135000
"1132",10712,93500
"1133",9900,117500
"1134",9828,239500
"1135",8773,169000
"1136",6180,102000
"1137",9600,119000
"1138",6342,94000
"1139",9819,196000
"1140",8731,144000
"1141",7350,139000
"1142",10304,197500
"1143",9965,424870
"1144",9000,80000
"1145",12180,80000
"1146",6240,149000
"1147",11200,180000
"1148",12000,174500
"1149",5700,116900
"1150",9000,143000
"1151",8280,124000
"1152",17755,149900
"1153",14115,230000
"1154",5890,120500
"1155",13700,201800
"1156",10768,218000
"1157",9350,179900
"1158",5001,230000
"1159",11932,235128
"1160",9120,185000
"1161",2280,146000
"1162",14778,224000
"1163",8724,129000
"1164",12900,108959
"1165",16157,194000
"1166",9541,233170
"1167",10475,245350
"1168",10852,173000
"1169",13728,235000
"1170",35760,625000
"1171",9880,171000
"1172",9120,163000
"1173",4017,171900
"1174",18030,200500
"1175",16560,239000
"1176",10678,285000
"1177",6951,119500
"1178",3950,115000
"1179",7681,154900
"1180",8335,93000
"1181",11170,250000
"1182",5587,392500
"1183",15623,745000
"1184",10800,120000
"1185",35133,186700
"1186",9738,104900
"1187",10615,95000
"1188",12461,262000
"1189",8935,195000
"1190",7500,189000
"1191",32463,168000
"1192",2645,174000
"1193",9600,125000
"1194",4500,165000
"1195",9364,158000
"1196",8029,176000
"1197",14054,219210
"1198",8850,144000
"1199",9100,178000
"1200",11235,148000
"1201",9353,116050
"1202",10400,197900
"1203",6000,117000
"1204",9750,213000
"1205",10140,153500
"1206",14684,271900
"1207",8900,107000
"1208",9135,200000
"1209",7763,140000
"1210",10182,290000
"1211",11218,189000
"1212",12134,164000
"1213",9340,113000
"1214",10246,145000
"1215",10205,134500
"1216",7094,125000
"1217",8930,112000
"1218",8640,229456
"1219",6240,80500
"1220",1680,91500
"1221",7800,115000
"1222",8250,134000
"1223",10496,143000
"1224",10680,137900
"1225",15384,184000
"1226",10482,145000
"1227",14598,214000
"1228",8872,147000
"1229",8769,367294
"1230",7910,127000
"1231",18890,190000
"1232",7728,132500
"1233",9842,101800
"1234",12160,142000
"1235",8525,130000
"1236",13132,138887
"1237",2628,175500
"1238",12393,195000
"1239",13072,142500
"1240",9037,265900
"1241",8158,224900
"1242",9849,248328
"1243",10625,170000
"1244",13891,465000
"1245",11435,230000
"1246",12090,178000
"1247",8125,186500
"1248",12328,169900
"1249",9600,129500
"1250",7200,119000
"1251",11160,244000
"1252",3136,171750
"1253",9858,130000
"1254",17542,294000
"1255",6931,165400
"1256",6240,127500
"1257",14303,301500
"1258",4060,99900
"1259",9587,190000
"1260",9750,151000
"1261",24682,181000
"1262",9600,128900
"1263",11250,161500
"1264",13515,180500
"1265",4060,181000
"1266",3735,183900
"1267",10120,122000
"1268",13214,378500
"1269",14100,381000
"1270",11344,144000
"1271",23595,260000
"1272",9156,185750
"1273",13526,137000
"1274",11512,177000
"1275",5362,139000
"1276",11345,137000
"1277",12936,162000
"1278",17871,197900
"1279",9473,237000
"1280",7500,68400
"1281",9808,227000
"1282",8049,180000
"1283",8800,150500
"1284",9400,139000
"1285",9638,169000
"1286",6000,132500
"1287",9790,143000
"1288",36500,190000
"1289",5664,278000
"1290",11065,281000
"1291",14112,180500
"1292",1680,119500
"1293",6600,107500
"1294",10140,162900
"1295",8172,115000
"1296",8400,138500
"1297",8700,155000
"1298",3675,140000
"1299",63887,160000
"1300",7500,154000
"1301",10762,225000
"1302",7500,177500
"1303",10120,290000
"1304",8688,232000
"1305",3363,130000
"1306",13173,325000
"1307",6955,202500
"1308",8072,138000
"1309",12000,147000
"1310",7153,179200
"1311",17500,335000
"1312",8814,203000
"1313",9572,302000
"1314",14774,333168
"1315",8190,119000
"1316",11075,206900
"1317",10226,295493
"1318",4230,208900
"1319",14781,275000
"1320",10215,111000
"1321",8400,156500
"1322",6627,72500
"1323",10186,190000
"1324",5330,82500
"1325",9986,147000
"1326",3636,55000
"1327",4270,79000
"1328",6600,130500
"1329",10440,256000
"1330",9084,176500
"1331",10000,227000
"1332",10780,132500
"1333",8877,100000
"1334",7200,125500
"1335",2368,125000
"1336",9650,167900
"1337",9246,135000
"1338",4118,52500
"1339",13450,200000
"1340",9560,128500
"1341",8294,123000
"1342",13695,155000
"1343",9375,228500
"1344",7558,177000
"1345",11103,155835
"1346",6000,108500
"1347",20781,262500
"1348",15306,283463
"1349",16196,215000
"1350",5250,122000
"1351",11643,200000
"1352",9247,171000
"1353",6000,134900
"1354",14720,410000
"1355",10316,235000
"1356",10192,170000
"1357",9477,110000
"1358",12537,149900
"1359",2117,177500
"1360",16737,315000
"1361",9842,189000
"1362",16158,260000
"1363",12513,104900
"1364",8499,156932
"1365",3180,144152
"1366",7500,216000
"1367",9179,193000
"1368",2665,127000
"1369",4435,144000
"1370",10635,232000
"1371",5400,105000
"1372",9600,165500
"1373",9750,274300
"1374",11400,466500
"1375",10625,250000
"1376",10991,239000
"1377",6292,91000
"1378",10998,117000
"1379",1953,83000
"1380",9735,167500
"1381",8212,58500
"1382",12925,237500
"1383",7200,157000
"1384",25339,112000
"1385",9060,105000
"1386",5436,125500
"1387",16692,250000
"1388",8520,136000
"1389",14892,377500
"1390",6000,131000
"1391",9100,235000
"1392",8944,124000
"1393",7838,123000
"1394",10800,163000
"1395",4045,246578
"1396",12665,281213
"1397",57200,160000
"1398",6120,137500
"1399",7200,138000
"1400",6171,137450
"1401",6000,120000
"1402",7415,193000
"1403",6762,193879
"1404",15256,282922
"1405",10410,105000
"1406",3842,275000
"1407",8445,133000
"1408",8780,112000
"1409",7740,125500
"1410",20544,215000
"1411",12420,230000
"1412",9600,140000
"1413",7200,90000
"1414",10994,257000
"1415",13053,207000
"1416",3635,175900
"1417",11340,122500
"1418",16545,340000
"1419",9204,124000
"1420",16381,223000
"1421",11700,179900
"1422",4043,127500
"1423",4435,136500
"1424",19690,274970
"1425",9503,144000
"1426",10721,142000
"1427",10944,271000
"1428",10930,140000
"1429",7200,119000
"1430",12546,182900
"1431",21930,192140
"1432",4928,143750
"1433",10800,64500
"1434",10261,186500
"1435",17400,160000
"1436",8400,174000
"1437",9000,120500
"1438",12444,394617
"1439",7407,149700
"1440",11584,197000
"1441",11526,191000
"1442",4426,149300
"1443",11003,310000
"1444",8854,121000
"1445",8500,179600
"1446",8400,129000
"1447",26142,157900
"1448",10000,240000
"1449",11767,112000
"1450",1533,92000
"1451",9000,136000
"1452",9262,287090
"1453",3675,145000
"1454",17217,84500
"1455",7500,185000
"1456",7917,175000
"1457",13175,210000
"1458",9042,266500
"1459",9717,142125
"1460",9937,147500
