medianIncome,medianHouseValue
1.6812,47.7
3.3906,284.1
3.4861,112.5
3.2865,240.1
5.3028,229.2
3.5772,207.4
6.5501,294.9
12.7296,500.001
4.7083,217.7
8.6454,483.5
3.7043,139.8
6.1142,256.3
2.6146,81.3
4.4637,192.8
2.6678,164.2
1.1915,71.9
2.2303,159.4
3.0417,222.6
3.6765,163.6
2.5104,120.5
3.3272,65.6
3.1975,252.4
0.9563,275
2.6818,164.6
3.5331,102.9
4.0474,280.5
3.1115,234.6
1.8854,137.5
4.0655,226.8
3.9864,200.2
5.6787,363.6
3.7477,122.2
4.1058,107.6
5.9143,343.4
5.0203,476.3
3.6607,192.3
2.2292,92
3.59,200.6
15.0001,500.001
2.1484,181.3
6.7042,413
3.175,170.8
3.5114,430.8
7.6632,204.8
2.5389,75.7
13.4883,500.001
2.7708,161.8
5.866,500.001
3.1534,324.4
2.5588,350
3.4402,149.4
2.7543,220
2.1763,168.8
4.556,205.3
4.8393,216.3
1.2091,97.9
0.8131,275
3.5213,458.6
2.7,165
2.5164,178.1
2.7614,237.5
2.3571,111.4
4.7222,109
7.0712,293
4.4357,216.9
6.235,361.4
4.7402,244.5
2.75,127.3
1.8036,175
6.0255,409.3
6.148,313.8
1.8299,63.1
1.5933,86.3
6.2924,283.9
6.299,285.8
4.5655,176.6
5.3157,253.3
2.5568,111.1
4.5053,242
2.5197,225.6
0.75,162.5
2.5478,91.7
2.3111,255.4
2.3599,168.4
6.396,208.5
3.6031,275
8.1872,466.1
3.2067,124.7
1.6098,87.5
2.2443,146.6
2.4821,157.2
4.1375,226
4.0833,500.001
3.0437,76.6
3.9934,141.9
2.5562,156.3
2.4408,117.3
3.3203,134.7
2.0938,162.5
4.2143,245.4
5.7704,500.001
15.0001,131.3
2.7083,82.1
6.6455,302.6
3.1392,146.2
1.9866,177.4
6.448,360.6
2.5821,125
1.9833,111.5
2.0159,139.3
1.9336,190.6
9.2225,500.001
2.3929,81.1
3.1607,178.9
2.3571,63.1
1.7075,86.9
5.2174,155.5
9.267,500.001
4.8839,134.1
4.97,500.001
2.8542,127.6
3.6121,500
3.8015,169.1
4.5352,374.2
3.765,94.6
3.8036,162
6.0859,266
2.3804,158
3.5192,190.5
13.499,500.001
4.8516,116.1
3.7396,148.9
2.1532,240
4.0132,174.7
3.8029,414.8
2.3942,183.1
4.2448,150.9
3.3431,137.5
2.1719,420
3.475,282.5
2.3903,236.1
4.4536,184
3.5833,90.6
2.1992,170.8
4.9375,232.8
5.5968,243.2
3.6442,186.3
2.2297,262.5
4.8295,319
2.3125,162.5
2.3641,94.1
3.3368,99.3
1.9032,100
1.9952,112.9
2.2094,75
2.0547,326.7
3.7361,179.8
6.0441,470
4.4091,148.4
3.4073,254.7
2.4367,111.4
5.0962,238
2.4196,346.2
1.365,54.3
8.0428,500.001
6.1437,232.1
3.6667,166.3
4.2083,278.2
3.1797,140.4
3.9934,88.5
8.1484,500.001
3.5322,361.9
7.4111,469.1
4.2333,358
2.125,61.9
6.0604,247.9
8.2064,500.001
3.0833,133.3
4.6371,234.3
2.2368,154.6
4.7426,242.7
8.039,382.2
3.4643,191.8
4.3958,225
4.8958,173.7
6.4865,204.4
5.4618,147.8
2.8558,97.1
1.4028,105.4
4.1444,178.4
2.8393,375
5.5,224.1
3.3177,309.4
2.75,109.9
1.9185,93.3
10.1316,500.001
3.63,183.4
4.997,142.9
3.8667,189.7
2.8418,327.3
2.0221,70.9
3.4844,127.7
3.7813,389.2
3.5655,427.3
4.4286,238.6
4.1339,396.4
2.4233,450
4.0862,321.8
3.5735,71.1
8.3608,187.3
0.8984,88.7
3.9219,433.3
4.4853,145.9
6.0884,432.9
2.32,93.2
6.3427,305.2
3.3155,237.5
3.2891,237.9
3.816,147.9
8.2374,500.001
4.6726,107.8
4.6944,130.9
2.3603,195.3
2.3125,96.9
3.7478,113.5
3.5227,202.4
2.4219,260.7
2.6713,312.5
7.5794,500.001
4.7731,199.2
1.7197,48.9
1.55,100.6
2.125,57.7
7.3681,353.1
2.5352,113.7
2.0644,79.8
4.6226,219.7
4.369,165.4
5.2999,359.4
2.875,57.7
1.9811,162.5
4.7,334.7
2.5488,187.5
1.5227,46.9
3.7109,109.1
2.2981,112.1
2.7026,145
2.364,173.3
3.2426,442.9
7.9814,409.9
3.0735,212.3
2.5809,78.3
3.369,134.4
3.0042,106.5
6.256,366.9
4.3438,189.8
2.0216,112.5
1.8355,61.2
3.0509,82.7
3.1087,171
1.808,105.5
10.3798,500.001
1.9818,208.3
1.6645,48
5.2879,231.2
2.5833,159.9
3.9861,188.7
3.163,137.8
3.3333,208.3
2.1571,48.6
4.6167,144
4.7422,202.4
1.95,84.8
3.108,231
2.5,73.6
1.625,112.5
3.631,225
4.15,393.5
5.9734,271.7
2.5966,109.3
4.8,306.8
6.5829,500.001
2.1528,162.5
6.1407,500.001
3.045,160.6
3.1446,177.1
1.0278,154.2
3.7083,241.9
2.8594,215.1
5.6411,294.7
3.1563,176.4
6.553,500.001
6.6345,309
2.723,79.6
4.5075,364.9
6.7919,295.6
6.1648,371.9
1.5633,84.5
3.4187,98.4
4.5909,179.2
3.2303,201.3
4.4882,144
3.4539,300
3.1467,161.1
6.3191,258.3
2.3687,63.9
3.4048,487.1
0.536,87.5
4.5469,409.7
4,254.7
3.1765,135
4.3958,108.4
2.8846,211.3
1.7344,51.3
1.6888,125
3.7083,147.5
5.5922,382.1
2.5893,183.7
6.6277,344.4
4.8409,244
2.3375,154.2
3.9861,163.9
6.983,329.7
1.8542,333.3
1.8173,154.2
3.183,201.2
3.8056,425
10.0973,500.001
10.8082,500.001
5.0863,440.3
1.2347,128.1
2.6442,92
5.5085,223.3
4.7583,258.6
5.7039,277.6
2.5542,72.9
3.8897,139.9
1.8413,62.3
6.7612,323.7
1.9872,168.8
3.975,500.001
5.0875,224.2
2.1691,66.7
1.7115,125
4.6727,158.9
2.9375,86.6
2.0139,150
2.5313,305.8
3.4902,500.001
4.0703,223.8
3.0061,190.8
2.375,145.8
2.8106,184.4
3.148,102.3
3.0635,160
7.8118,244.2
4.2009,271.3
1.7217,175
1.8355,74.2
3.4208,290
1.7829,55.9
5.0497,191.7
4.125,327.6
5.2452,204.9
3.3214,103.1
1.875,500.001
3.05,144.8
1.4896,69.5
1.5,91.5
0.9513,50.4
3.4031,209.5
7.0217,357.9
3.488,191.8
3.5465,213.2
3.0685,162.5
3.7932,210.3
4.9135,368.1
3.0958,145.8
2.5556,177.5
5.8243,297.9
5.7613,500.001
5.2719,244.4
4.0791,281.3
4.3644,137.4
1.5069,43.7
3.015,414.3
6.9533,500.001
7.3028,500.001
3.7885,204.5
4.3657,215.9
2.5598,120.2
7.4056,374.2
2.3359,92.4
1.5369,141.3
6.0948,358.7
1.3929,55.6
15.0001,500.001
3.2321,243.6
3.4184,162.5
3.7794,194.6
3.4265,456.9
2.0272,92.7
1.9224,94
2.1985,141.8
1.7938,142.6
3.4167,198.2
4.2396,245.1
4.4583,190.1
1.6023,77.3
3.2287,264.9
2.1413,96.9
3.2344,234.9
2.975,157.3
3.025,180
3.2396,125.2
3.5769,103.8
4.1389,174.1
5.0201,154.4
5.678,370.1
4.325,166
3.8906,123.7
4.1189,172.4
2.125,61.2
5.2855,253.5
6.2242,237.9
2.5652,157.7
1.875,102.9
2.6528,300
2.4206,137.5
4.8359,145.3
4.8274,174.1
2.5714,65.9
4.2589,134.9
3.1768,79.5
3.7273,251.9
4.6357,244.9
3.235,124.7
2.9154,203.3
2.0486,101.8
